Tweet,total_characters,count_sentences,avg_words_length,count_words,count_unique_words,num_uppercase_chars,num_lowercase_chars,num_uppercase_words,num_lowercase_words,count_punctuations,count_blanks,count_numbers,count_special_characters,coleman_liau_index,gunning_fog,ari,dale_chall_readability,smog_index,linsear_write,flesch_kincaid_grade_level,flesch_reading_ease,Class
@madeleinestroth must be playoff time. #HateEveryoneNotAssociatedWithYourTeam,77,1,12,6,6,7,62,0,5,3,5,0,3,54.72666667,22.4,38.945,0.2976,11.20814326,1.5,30,-109.455,1
RT @BTSullivan91: \The world is moving so fast that the man who says it can't be done is generally interrupted by someone doing it.\" - Elbe",141,1,4.461538462,26,25,7,98,1,22,9,25,2,9,14.94923077,16.55384615,9.742222222,1.2896,13.0238668,0.692307692,7,89.33730769,1
RT @TrinbagoNews: UN ranks #Trinidad &amp; #Tobago as happiest Caribbean nation http://t.co/NdtkQbQSrE,102,1,7.583333333,12,12,14,66,2,8,11,11,0,11,31.71333333,24.8,18.41307692,0.5952,14.55459255,1.583333333,9,53.655,1
@ljzimberlis well I would have given you the money but..,56,2,4.7,10,10,1,43,1,9,3,9,0,3,11.208,14,9.004,0.496,8.841846275,1,2,91.78,1
"RT @HLNTV: #RECALL ALERT: @IKEA is recalling 300,000 crib mattresses due to risk of entrapment. More: http://t.co/EJOzjSlmKG http://t.co/uX",139,3,6.777777778,18,18,30,68,5,15,18,17,6,18,24.67333333,13.51111111,12.8625,0.8928,11.20814326,0.833333333,-2,120.845,1
"RT @BeschlossDC: NFL draft 1964, New York:  #AP http://t.co/ruyaul26xY",70,1,6.777777778,9,9,13,32,3,4,10,9,6,10,26.64444444,8.044444444,13.569,0.4464,8.841846275,0.333333333,-2,122.5,1
@ogul Buttonwillow was bumped to # 3. San Diego is still my # 1.,64,2,3.642857143,14,13,3,41,0,7,5,13,2,5,6.851428571,8.514285714,2.592142857,0.6944,8.841846275,0.571428571,1,103.0442857,1
Ag and barbecue. Real people in cowboy hats. Random livestock too. #FresnoHaiku,79,3,5.666666667,12,12,5,59,0,8,4,11,0,4,15.51,18.26666667,8.7225,0.5952,13.0238668,1.666666667,4,75.875,1
Fresno is officially my second favorite city in California.,59,1,5.666666667,9,9,2,48,0,7,1,8,0,1,19.45777778,16.93333333,13.42333333,0.4464,13.0238668,1.222222222,9,47.3,1
RT @Fresno_State: We spy a #FresnoState alum! @Ryan_Jacobsen. MT @racheslick: @FCFB_Ag Prez electrifying Power Connect news conference http,139,2,6.777777778,18,18,19,91,2,8,12,17,0,12,26.31777778,16.93333333,18.91833333,0.8928,15.90318901,1,6,66.1,1
"The Beautiful Life Challenge. \
I was challenged by Mysti Dawn - now I challenge Mattress MatMan Burns, James G... http://t.co/UbCuR0EdyQ",137,5,5.571428571,21,20,19,85,3,8,12,19,1,12,15.51238095,11.20380952,9.151818182,1.0416,14.55459255,0.714285714,1,93.80057143,1
"That's right, we are bad-ass and don't you go forgetting it men! http://t.co/QK8TqZu7Am",87,2,5.769230769,13,13,6,57,0,17,10,12,2,10,18.99692308,11.83076923,11.00285714,0.6448,3.1291,0.846153846,1,96.11442308,1
"GREAT idea! Then repeat as necessary, be sure to add new love letter each time, after you make up and are feeling... http://t.co/7ISXiqP37x",139,5,5.086956522,23,23,10,93,1,23,11,22,3,11,13.30086957,12.27478261,8.8675,1.1408,8.841846275,0.913043478,1,99.17469565,1
"Had a wonderful afternoon, got side-tracked from grocery shopping for a few hours, gotta do that more often! lol",112,1,4.947368421,19,18,1,89,0,19,4,18,0,4,17.30315789,16.02105263,15.83421053,0.9424,13.0238668,0.684210526,9,62.87631579,1
To those with the glow! lol Jaimie Lee Jenn and company http://t.co/XdHE2YSljk,78,2,5.583333333,12,12,9,51,0,10,6,11,1,6,17.48666667,12.4,9.717692308,0.5952,8.841846275,1,-1,116.145,1
Photo: mariowiki: fandomshatepoc:... http://t.co/kIGRxq8SVW,59,4,14,4,4,7,37,0,5,11,3,1,11,41.33,20.4,30.27133333,0.1984,11.20814326,1.5,20,-47.98,1
"Photoset: loverrtits: johnnapaige: sydneysabrina: LMFAO Bro Omg lmao Be careful, theyre handsome but the... http://t.co/BuwS5ZUiG8",130,4,7.733333333,15,15,14,87,1,12,13,14,2,13,27.26666667,22.83333333,18.03354167,0.744,17.1224134,1.666666667,8,45.10875,1
Photo: memeguy-com: I cant believe nobody showed up to class today Ew http://t.co/aOmE6nu6LU,92,1,6.153846154,13,13,7,63,1,13,8,12,2,8,23.53538462,20.58461538,12.685,0.6448,13.0238668,1.230769231,9,50.47076923,1
Video: Love has no gender! http://t.co/OpiL0yCoCP,49,2,7.333333333,6,6,7,29,0,6,7,5,1,7,22.35333333,14.53333333,12.61714286,0.2976,8.841846275,1,7,48.69,1
My job as a Black Tumblr member. - callmespike: 1: spread shit to help keep yall woke 2: boost and/or gas... http://t.co/isU15IWoWO,131,5,5,22,22,8,84,0,19,14,21,4,14,12.48545455,5.396363636,6.838043478,1.0912,11.20814326,0.363636364,0,106.2326364,1
Sparkcentral is hiring a QA Engineer http://t.co/ep3un55rYm via @greenhouse - RT please,87,1,6.333333333,12,12,7,59,2,9,7,11,3,7,24.36333333,21.46666667,12.97846154,0.5952,8.841846275,1.583333333,2,103.005,1
Not a bad deal from downtown Chicago to O'Hare international. Thanks @Uber http://t.co/dOMUWAL0BC,97,2,6.538461538,13,13,14,62,1,10,8,12,1,8,23.52,14.90769231,12.52761905,0.6448,11.20814326,0.538461538,2,89.60673077,1
Sparkcentral is hiring a Enterprise Account Executive http://t.co/0e1E6mfHUc via @greenhouse - RT please,104,1,7.076923077,13,13,9,73,1,9,7,12,3,7,28.96307692,26.73846154,16.72214286,0.6448,3.1291,1.461538462,4,89.51692308,1
Chi-town brunching. (@ Yolk) on #Yelp http://t.co/3rxkPk2KmE,60,2,7.714285714,7,7,6,35,0,6,11,6,2,11,26.14285714,1.4,13.46208333,0.3472,3.1291,0,-1,106.5967857,1
Sparkcentral is hiring a Public Relations and Customer Marketing http://t.co/BzkqartQf0 via @greenhouse - RT please,115,1,6.733333333,15,15,9,84,1,10,7,14,1,7,27.30666667,22,16.12875,0.744,8.841846275,1.533333333,6,78.81,1
@BobOngQuotes: I'm really hoping that I can make my parents proud someday and I can't wait for that day to come.,112,1,4.380952381,21,19,6,81,3,19,5,20,0,5,14.15047619,14.11428571,13.96571429,1.0416,11.20814326,0.761904762,6,92.86285714,1
RT @Contraps: You can't fix yourself by breaking someone else.,62,1,5.3,10,10,4,45,1,8,4,9,0,4,17.696,20,12.301,0.496,8.841846275,1.2,5,78.245,1
That Spurs fan back there in the background salty af behind Chris Paul. ,72,1,4.538461538,13,13,4,54,0,9,1,13,0,1,14.48923077,8.276923077,10.43153846,0.6448,3.1291,0.384615385,1,109.04,1
How did this mane NOT get called for Traveling!? ,49,2,4.444444444,9,9,5,33,1,6,2,9,0,2,9.635555556,6.244444444,8.19,0.4464,8.841846275,0.333333333,-2,117.6675,1
"Brah, this mane Bellinelli is WATER WET! ",41,1,4.857142857,7,7,10,22,2,3,2,7,0,2,14.41142857,8.514285714,8.984285714,0.3472,8.841846275,0.571428571,1,103.0442857,1
Ain't nobody finna wash yo shit like a crackhead my nigga .. ,61,2,4.083333333,12,12,1,45,0,11,3,12,0,3,9.156666667,9.066666667,8.476363636,0.5952,8.841846275,0.75,2,87.945,1
@Tmillerr11 Ctfu I had too!,27,1,4.6,5,5,3,16,1,2,2,4,2,2,10.032,2,6.504,0.248,3.1291,0.6,-2,117.16,1
RT @teekardash: No friends can come SEE tommy only close friends &amp; FAMILY ! HIS REQUEST ! You can come show support to his family but you C,143,2,4.142857143,28,24,24,86,6,18,6,27,0,6,12.11571429,14.17142857,16.62464286,1.3888,8.841846275,0.464285714,1,114.0678571,1
My Nep fenna be back in No Time! ,33,1,3.125,8,8,4,20,0,4,1,8,0,1,4.755,3.2,1.41,0.3968,3.1291,0.125,-1,114.115,1
#teamterio (Vine by @Tmillerr11) https://t.co/HvsKRA1sMp,56,1,10.4,5,5,7,33,0,5,9,4,3,9,44.136,10,23.245,0.248,8.841846275,0.6,5,66.4,1
@kielz_1993 bumpkin. I need makeup. Gel line me honey. And you inspired me. 24\?",81,5,4.857142857,14,14,3,50,1,10,9,13,6,9,7.648571429,12.54857143,4.529285714,0.6944,3.1291,0.857142857,-2,113.3501429,1
Trying my ex but I'm not too sure which car he driving. Makes mental note *Duck the X6*. I think I'm Safe our eyes make 4 from a Benz,133,2,3.620689655,29,28,9,88,4,21,6,28,2,6,9.125517241,7.179310345,4.354712644,1.4384,3.1291,0.344827586,-1,127.9381897,1
Mummy put my sister on a diet. But I'm sneaking her food ,57,1,3.75,12,12,3,40,1,10,2,12,0,2,9.663333333,8.133333333,2.765,0.5952,3.1291,0.25,0,117.105,1
Girl. I know you want this Dick ,32,1,3.571428571,7,7,3,21,1,4,1,7,0,1,6.851428571,8.514285714,-0.167142857,0.3472,3.1291,0.428571429,-1,115.13,1
Avengers 2 was fantastic. Solid recommend.,42,2,6.166666667,6,6,2,32,0,3,2,5,1,2,15.49333333,21.2,10.685,0.2976,8.841846275,1,5,62.79,1
I posted a new photo to Facebook http://t.co/NOtvEoNsBL,55,1,6,8,8,8,35,1,8,5,7,0,5,20.925,13.2,9.08,0.3968,8.841846275,0.5,4,82.39,1
Baltimore says . . . http://t.co/Jcy2XgbsAj,43,4,6.333333333,6,4,4,25,0,4,8,5,1,8,6.606666667,13.93333333,20.44916667,0.2976,8.841846275,0.5,-3,120.7125,1
I posted a new photo to Facebook http://t.co/M8hfgDY0t4,55,1,6,8,8,5,35,1,8,5,7,3,5,20.925,8.2,9.08,0.3968,8.841846275,0.5,2,92.965,1
@ThunderObsessed For sure. The 5% might even be generous.,57,2,5.444444444,9,9,4,40,0,5,4,8,1,4,14.86222222,10.68888889,9.08,0.4464,11.20814326,0.666666667,2,89.4675,1
@IsaacBranFlakes Bran &amp; Tommen!! Epic!,42,3,7.6,5,5,6,26,0,1,6,4,0,6,15.832,8.666666667,20.634,0.248,8.841846275,0.6,6,52.86333333,1
RT @ArpitaAneja: Hear two TIME Journalists recount the end of the Vietnam War 40 years later. http://t.co/PYAOXtSpBH @TIMEvideo @TIME http:,139,2,6,20,19,28,79,3,12,11,19,2,11,22.106,18,12.57285714,0.992,11.20814326,1.05,1,103.625,1
OMG!! 4 acts from the Philippines to the Grand Finals of #AsiasGotTalent !! #TalentongPinoy,91,4,5.571428571,14,13,11,60,1,6,6,13,1,6,13.96285714,9.971428571,16.185,0.6944,13.0238668,0.928571429,3,82.42535714,1
3 Golden Buzzers for the Grand Finals. 2  for acts from the Philippines!#AsiasGotTalent,87,2,5.692307692,13,11,8,61,0,6,3,13,2,3,18.99692308,5.676923077,12.61615385,0.6448,8.841846275,0.384615385,2,89.60673077,1
Woohooo!!! #ElGammaPenumbra !!! #GoldenBuzzer #AsiasGotTalent,61,6,11.4,5,5,9,39,0,0,9,4,0,9,20.416,32.33333333,38.532,0.248,14.55459255,2.4,20,-47.81083333,1
#Replug WB Govt: Ensuring social security of workers &amp; reviving work culture | http://t.co/eMpswqFUMP http://t.co/Q77Impi45l,128,2,7.6,15,15,12,83,1,14,15,14,4,15,30.42933333,21.66666667,16.3127451,0.744,3.1291,0.866666667,2,92.0625,1
RT @brownbrumby: You want privacy? go anonymous. Don't whinge about your public tweets being used by media.  https://t.co/EAwGNjRQ4X,132,4,6.333333333,18,18,11,91,1,18,11,18,1,11,20.74222222,19.57777778,12.17973684,0.8928,13.0238668,1.166666667,4,75.3675,1
