Account,NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, AverageLengthOfWordsMean,AverageLengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, AverageLengthOfPropositionsMean,AverageLengthOfPropositionsStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Class
18,55.25,27.19719655,2,1.224744871,42,22.56102835,3.25,2.277608395,0.75,1.299038106,7.25,3.897114317,8,3.937003937,9.0175,3.463656846,1.75,1.299038106,5.8125,3.515034673,2,2.34520788,6.5,3.840572874,0.25,0.433012702,0.975,0.04330127,9.9,3.372684391,35.3925,29.0329764,14.0775,3.11042903,13.575,7.37711834,13.76,4.934901215,14.955,4.629495113,0,0,3.75,1.677050983,1
19,55.5,30.5,9,9,33.5,33.5,5,3,0,0,8,3,9,3,5.1,1.6,2.5,1.5,4.625,1.375,4.5,2.5,5.5,5.5,3.5,3.5,1,0,4.35,5.85,74.1,42.05,7.845,7.545,5.3,8.1,5.375,8.815,7.755,5.355,0,0,2.75,0.75,1
20,54.77777778,37.23134217,2.444444444,2.006163343,40.44444444,28.84483821,4.555555556,3.531166352,0,0,7.333333333,5.31245915,7.888888889,5.194964323,5.373333333,2.191473376,1.666666667,1.247219129,5.144444444,2.846093272,2.666666667,2.357022604,6.333333333,4.988876516,0.444444444,0.496903995,0.888888889,0.314269681,3.644444444,7.728750238,79.48888889,51.04700959,12.51555556,5.788916827,8.866666667,6.246065428,5.644444444,13.606915,6.977777778,4.238041418,0.977777778,2.765573189,2.963333333,2.612508373,1
21,65.85714286,37.60481949,3.714285714,6.226998491,24.78571429,22.71305028,30.78571429,32.368809,1.071428571,1.09962888,5.5,4.792106605,6.5,4.792106605,5.952142857,2.843888632,4.142857143,3.377597262,3.347857143,3.872459865,28.42857143,31.37723079,3.928571429,4.113814457,0.571428571,1.049781318,0.985714286,0.051507875,3.835714286,6.579905247,74.98142857,45.42373339,23.73857143,13.60748264,88.5,89.89681386,9.585,18.23608109,3.714285714,4.630309638,0,0,2.517857143,2.819676219,1
22,53,26.94438717,0.8,0.748331477,42,21.13764414,2.8,3.42928564,0,0,7.4,2.939387691,8.2,2.712931993,6.286,1.134012346,1.6,1.2,6.75,3.248076354,2,3.033150178,7.4,2.416609195,0.6,0.489897949,1,0,6.54,4.275324549,60.888,30.09475463,7.73,7.532279867,7.94,8.860158012,9.366,8.731415922,7.688,6.198488203,0,0,3.8,2.315167381,1
23,72.83333333,26.04749935,5.25,7.55121403,28.58333333,30.83412161,30,24.74200207,1.25,2.046338193,7.75,6.559026859,8.583333333,6.601241466,4.880833333,4.142085743,4.5,2.872281323,5.0475,6.986521697,27,25.2421605,4.583333333,6.537817339,0.75,1.361677887,0.723333333,0.422282159,4.716666667,14.92524893,69.47333333,105.6401959,17.71166667,16.54147002,82.45,124.2183327,10.26166667,23.30511883,4.055833333,5.063031796,0.533333333,1.768866555,2.84,3.792802394,1
24,65.92592593,32.76620428,5.666666667,8.511430223,41.44444444,26.30636218,8.37037037,13.16602853,1.148148148,1.432524415,9.296296296,6.857355147,9.851851852,6.461875107,5.478518519,2.842300455,1.703703704,1.959115727,8.435925926,6.090101416,6.037037037,13.1162367,7.444444444,6.196374886,1,2.09054308,0.969259259,0.071798376,8.333333333,8.622751988,49.93296296,65.26683565,19.41296296,15.72417102,27.97407407,46.54195712,14.90185185,16.75495859,8.664814815,8.026731437,0.388888889,1.982952033,4.447407407,3.56046563,1
25,83.18181818,36.65023423,6.818181818,6.938930777,49.81818182,24.5016444,14.90909091,20.63295927,0.818181818,1.028518954,10.81818182,5.859230198,10.81818182,5.440892003,5.981818182,2.369302998,2.181818182,1.585054161,7.504545455,5.174959576,11.09090909,18.70563622,7.272727273,4.574452955,1.090909091,1.443137079,0.957272727,0.08334931,6.963636364,3.826290092,61.43454545,29.90090493,15.57636364,4.900393811,23,21.81846591,12.41,8.190053835,7.192727273,5.458599705,0,0,5.545454545,3.525585351,1
26,77.22222222,31.38923304,9.888888889,10.15922618,30.11111111,24.56033136,27.33333333,29.84776187,1.555555556,2.266230895,8.333333333,3.944053189,9.333333333,3.944053189,5.922222222,3.018748003,5.222222222,3.880944266,3.75,2.747588842,24.66666667,28.01586852,4.222222222,4.021546905,2,1.943650632,0.888888889,0.314269681,5.288888889,5.205860895,66.83333333,35.96435736,12.76222222,6.196104112,59.2,64.65625346,6.957777778,15.67455247,5.296666667,5.16873507,0,0,3.333333333,2.037836543,1
27,76.83333333,45.1568255,5.583333333,6.689025008,41.5,27.03855272,19.25,35.58118651,0.916666667,1.381926996,9.583333333,7.543853274,10.08333333,7.387583427,7.190833333,2.347109777,3,4.020779361,7.175833333,6.821980966,13.16666667,25.73529785,6.833333333,6.5042721,0.666666667,1.105541597,0.975,0.08291562,7.633333333,6.841580389,54.31666667,50.36882193,17.9875,10.26561585,28.63333333,29.19692716,18.3225,16.57710073,10.25333333,7.368275842,0,0,4.791666667,3.977584764,1
28,87.16666667,34.3652764,6.833333333,5.610010893,46.75,34.20556729,21.66666667,18.36814876,1.416666667,1.977301753,10.5,5.838093296,11,5.582711408,6.445,2.713225325,6.166666667,6.743309441,4.5675,3.760868971,16.91666667,17.51408164,6.5,5.6199051,0.916666667,0.862006703,0.89,0.275257455,7.816666667,10.72060581,50.24083333,75.35879394,17.34083333,9.284406693,52.00833333,74.37556116,14.485,11.21676015,11.04166667,10.59226592,0,0,4.8125,2.634160603,1
29,86.4,17.14176187,14.8,10.70327053,39.2,20.33125672,22.4,19.21041384,1.4,2.332380758,8.6,2.497999199,9.6,2.497999199,7.234,1.177380143,4,1.897366596,3.478,1.677598283,19,17.94435844,4.4,3.440930107,2.4,2.244994432,1,0,10.4,5.019561734,30.358,39.04246478,20.778,8.534657345,37.26,31.34291627,21.27,10.72264333,10.322,7.018114847,0,0,3.7,1.46116392,1
30,69.85714286,39.56463755,5.80952381,7.195362578,36.42857143,31.70785005,17.57142857,21.34874018,1.142857143,2.053700824,8.904761905,7.939681905,9.333333333,7.778684754,4.881904762,3.440640332,3.238095238,3.449013136,5.915238095,6.622421237,15.42857143,20.75840949,6.238095238,6.68263394,0.80952381,1.295378144,0.813809524,0.341460117,7.366666667,13.63641251,53.63666667,97.7740665,17.63095238,17.66556265,44.86666667,71.29710028,9.496190476,19.66086601,6.498095238,8.752357842,0.371428571,1.661079069,3.55952381,3.792932621,1
31,45.125,28.90690878,1.375,1.866648065,33.625,22.14688183,4.25,3.992179856,0.125,0.330718914,5.75,4.235268587,6.75,4.235268587,7.01375,2.795321706,1.5,1,5.25,3.992179856,2.875,2.847696437,5.625,4.270172713,0.25,0.433012702,0.98625,0.036379081,5.1625,4.948216219,66.5275,33.88781556,11.81125,5.429547489,10.1875,8.013962425,6.34,11.74197598,6.885,4.711645148,0,0,2.46875,1.993887143,1
32,70.92,35.10204552,7.68,5.583690536,43.52,26.39866663,9.12,8.783256799,1.92,2.313784778,8.68,6.751118426,9.36,6.559756093,6.3444,3.74273064,1.68,1.085172797,7.0768,6.051525242,5.44,8.158823445,6.28,5.820790324,1.12,1.305986217,0.9124,0.20630618,7.416,6.986082164,54.5044,49.76423994,18.1724,9.466755423,19.08,17.28069443,17.9088,18.53504515,8.2324,6.287339202,0.856,2.326556253,3.82,2.799912856,1
33,64.8,42.81308211,6.7,7.874642849,42.4,30.22978664,5.1,4.109744518,0.8,1.777638883,9.8,6.925315877,10.3,6.32534584,5.278,1.773024535,1.4,0.916515139,9.225,6.934019397,2.8,2.181742423,6.8,5.362835071,1,1.414213562,0.955,0.101513546,3.97,5.425320267,79.906,35.01158043,14.894,4.528163425,7.08,8.13471573,6.554,9.02176169,8.03,6.852958485,0.88,2.64,3.875,3.733714638,1
34,36.88888889,24.76307486,2.444444444,2.31474074,25.88888889,19.77902618,3.666666667,2.98142397,0.888888889,1.448711646,4,3.366501646,4.444444444,3.269764215,8.597777778,3.902776157,1.444444444,0.955813919,3.5,2.357022604,2,2.211083194,2.888888889,2.997941681,0.444444444,0.496903995,0.987777778,0.034569665,9.733333333,14.18880623,31.92,102.9767838,19.02111111,7.55335311,23.64444444,18.56921653,19.83666667,16.73214936,11.73333333,13.3267392,0,0,1.527777778,1.282599598,1
35,71.48387097,36.3450054,8.741935484,9.797852767,41.22580645,28.57780515,11.29032258,17.084597,1.032258065,1.731750391,9.193548387,6.53239745,9.870967742,6.110498293,6.489032258,3.115036742,2.161290323,1.868184805,6.742580645,4.943326533,7.64516129,14.42566795,5.903225806,5.455715196,1.290322581,2.465157829,0.960322581,0.177591119,6.006451613,7.441511097,64.02774194,50.76157683,15.38645161,7.0968328,24.82903226,64.98791051,13.68935484,16.07811956,7.106774194,5.774208164,0.4,1.524001524,3.740645161,3.02591275,1
36,83.62068966,38.76668832,8.310344828,9.461732175,37.37931034,30.45903274,23.20689655,36.17045785,0.75862069,1.193521952,13.96551724,7.508536561,14.13793103,7.375280885,5.527586207,1.653269812,9.379310345,15.43711111,7.06137931,5.148393606,20.79310345,35.6809418,6.103448276,6.331883348,1.655172414,2.655844071,0.976896552,0.061817498,5.268965517,3.915319465,70.61275862,28.90277685,15.70275862,6.003933134,44.69655172,79.77060855,8.35137931,6.366207513,6.946896552,5.300977856,0.775862069,2.338236172,5.974137931,3.933359113,1
37,68.22222222,32.13263408,7.555555556,8.001543061,39.77777778,19.63996932,9.777777778,17.71237971,0.944444444,1.580162517,10.16666667,5.367080729,10.72222222,5.215421103,5.519444444,1.495877566,1.777777778,1.901915863,8.848888889,5.837938077,7.222222222,17.55485231,8.222222222,4.353230672,0.944444444,1.025899184,0.993888889,0.025196757,5.288888889,5.23501978,72.27611111,38.8512707,15.04111111,5.397646492,12.76666667,17.005914,8.501111111,10.00319165,6.514444444,4.940959446,0,0,4.277777778,3.107885232,1
38,71.46666667,43.00366909,5.333333333,4.948624949,46.13333333,34.42841204,8.6,12.30067749,0.533333333,0.805536398,10.86666667,8.585776351,11.06666667,8.322392818,5.776,2.286046952,1.8,1.6,8.383333333,6.120230569,6.266666667,12.75129623,8.8,8.166598639,0.666666667,0.596284794,0.914,0.249474114,5.006666667,7.994286849,73.802,53.93971625,13.636,6.174700856,10.64,8.884203209,6.693333333,8.936930619,10.22333333,9.785466548,0,0,4.783333333,4.427063235,1
39,84.73333333,41.37707363,5.533333333,5.690537955,57.4,31.00279557,8.6,8.882942455,1,1.366260102,12.2,7.304792947,12.53333333,6.651983831,5.994666667,1.916997189,1.933333333,1.481740718,10.09866667,6.799536128,6.066666667,8.410046902,9.533333333,5.897645481,0.4,0.611010093,0.992,0.029933259,8.046666667,5.217645276,55.122,39.68753292,18.142,13.78789189,26.39333333,56.87250615,13.72666667,12.25809755,9.092666667,5.082029079,0,0,5.616666667,3.654753374,1
40,75.06896552,40.75742457,6,6.141997878,52.72413793,31.50248655,4,2.876779809,0.862068966,1.479145558,11.48275862,6.573828411,12.24137931,6.558254459,6.361034483,1.584474992,1.413793103,0.766417613,9.640689655,5.358516863,2.103448276,1.708898165,10,6.203447317,0.896551724,1.15504374,0.981034483,0.052937493,5.075862069,3.799877963,76.31758621,25.09557794,11.91758621,4.223536396,9.648275862,7.659459812,9.791724138,7.398516193,7.747931034,4.654714614,0.606896552,2.229880318,4.997241379,3.653440416,1
41,62.27272727,48.21182599,2.727272727,2.733326614,46.27272727,37.99782508,3.272727273,2.631657241,0.545454545,0.987525499,9.454545455,9.623490544,10.09090909,9.472011838,5.83,3.411659154,1.272727273,0.862439362,9.363636364,9.679150294,1.909090909,1.564059139,9.181818182,9.103627467,0.363636364,0.642824347,0.966363636,0.078192388,9.045454545,8.605744766,44.71272727,64.52786855,21.36636364,17.38674588,21.19090909,27.40774458,16.98,21.81921713,8.789090909,7.598484842,0,0,4.295454545,4.640261285,1
42,80.29411765,34.6083375,5.176470588,4.553412348,52.70588235,29.1139035,9.882352941,10.87837765,1.705882353,2.189942408,10.82352941,5.19315493,11.47058824,4.960047996,5.472941176,2.289826001,2.235294118,1.863879943,8.470588235,5.49744911,7.352941176,11.23514013,8.470588235,4.326629541,0.470588235,0.775935645,0.877647059,0.321019138,4.576470588,8.018693557,78.90411765,51.01065506,11.36705882,6.703531786,10.77647059,7.732629825,9.131764706,10.99293583,7.241176471,4.094650574,0,0,5.441176471,3.487930252,1
43,80.5,39.70201506,4.4375,4.046120827,58,30.04163777,5.625,4.151430476,0.8125,1.379254781,11.625,6.927075501,11.9375,5.889277863,6.385,1.148063587,1.5,0.935414347,9.4375,5.533632961,3.3125,2.615309494,10.4375,5.556176181,0.5625,0.788095013,0.98,0.053033009,7.80625,5.029968781,55.34125,36.10119906,14.773125,9.143379927,13.4625,11.60037041,13.084375,8.891159914,8.89,5.046304341,0.60625,2.347996154,5.145625,3.75686533,1
44,99.80952381,39.43483962,7.285714286,10.76211546,53.23809524,34.92018759,21.85714286,33.82065544,2.047619048,3.872690593,15.38095238,6.834619093,15.85714286,6.798359146,5.066190476,2.348017352,8.80952381,17.7673297,9.23,6.25424808,18.38095238,34.91414803,9.095238095,6.406133682,1.238095238,2.809927332,0.841904762,0.345537801,4.066666667,9.243290145,83.03095238,58.92799463,12.33380952,6.745120618,9.538095238,8.399970306,6.578571429,11.63323535,7.915714286,5.770322737,0.871428571,2.816810567,7.488095238,4.598976717,1
45,67.29166667,38.17883267,3.333333333,3.197221016,44.04166667,27.98582851,9.125,16.55121471,0.791666667,1.117257306,10,6.32455532,10.625,6.447302407,5.965833333,2.030028564,3.958333333,8.89512585,7.408333333,5.893291148,6.666666667,15.90772,7.375,5.414582933,0.5,0.816496581,0.990833333,0.030402394,6.591666667,5.663546935,62.23541667,40.69130302,15.78583333,12.75330412,27.20833333,58.32675856,13.70375,13.57829052,7.971666667,7.320064701,0,0,5.041666667,3.934798456,1
46,63.57142857,26.57526854,3.285714286,3.325841922,44.85714286,23.08944454,5.642857143,4.699652614,0.5,1.349603116,9.285714286,5.146823867,9.714285714,4.817061514,5.691428571,2.048040377,1.857142857,1.245399698,7.577142857,4.816994363,3.928571429,4.787846007,7.5,5.220153254,0.428571429,0.622699849,0.9,0.255873853,4.785714286,6.924063335,74.50285714,46.58417288,12.44857143,6.140960671,9.628571429,5.867029983,8.513571429,8.871197058,8.32,4.182883489,0.457142857,1.648252012,4.214285714,2.950268061,1
47,76.70833333,47.2232986,5.458333333,4.24243608,50.75,34.41807907,9.791666667,17.09527022,1.541666667,2.56546238,9.166666667,7.074995092,9.875,6.851474902,6.50625,2.389216769,1.625,0.992156742,7.75,5.871896343,4.208333333,6.048272251,7.625,5.662835715,0.666666667,0.799305254,0.915,0.239739442,8,12.54026847,53.12,89.04530705,17.80375,13.0587084,23.34583333,42.00418609,19.93291667,34.87048292,10.40666667,8.82391054,0,0,5.260416667,4.280210742,1
48,73.32142857,33.30921534,5.607142857,4.065001192,46.53571429,26.72944089,9.642857143,15.00765111,0.75,0.986516237,10.78571429,6.36035232,11.35714286,6.136624745,6.145,1.177635343,3.464285714,7.218439398,7.044285714,4.677587465,6.785714286,14.56354829,7.357142857,6.130802125,0.821428571,0.888561093,0.970714286,0.061174725,6.371428571,4.497289433,63.83464286,32.9416103,15.1975,8.197326056,20.87857143,38.3976874,12.43928571,6.869348549,7.455714286,5.092076779,0,0,4.741071429,3.088343684,1
49,79.75862069,36.7898554,9.827586207,9.931034483,47.4137931,24.63599447,10.20689655,15.57048337,1.448275862,2.298218304,10.86206897,6.371943556,10.68965517,5.458959407,6.465172414,2.337202307,2.344827586,3.261857542,7.716896552,4.34731713,6.517241379,13.79810254,6.068965517,4.41729387,1.310344828,1.555932989,0.914827586,0.192185627,7.096551724,7.934102855,58.5837931,57.45382988,14.35862069,7.473339615,16.67241379,14.55666447,14.31724138,11.04161966,8.842068966,8.13892621,0,0,4.586206897,2.531079113,1
50,59.85714286,36.97751661,5.285714286,5.476293995,36.46428571,27.25734782,9.714285714,17.35111594,0.892857143,1.47210456,7.5,5.888851452,8.321428571,5.976463189,6.065357143,2.041661582,1.714285714,1.708322963,7.248928571,6.33291816,7.428571429,16.1055194,5.178571429,4.614059039,0.714285714,0.920292766,0.956785714,0.186107756,6.607142857,7.09818531,60.68535714,48.52970405,14.56392857,9.461618836,20.37857143,29.21047216,12.12928571,13.14538266,10.00571429,6.865058749,0,0,4.339285714,3.991740516,1
51,90.88095238,42.58112838,7.142857143,5.400932144,61.35714286,30.91141061,6.952380952,5.27777181,1.30952381,1.969869409,14.11904762,8.018438219,14.85714286,8.028435857,5.303333333,1.932290359,2.071428571,1.352121035,8.971666667,6.364817701,3.976190476,3.446793508,10.5,6.987233256,0.880952381,1.199253358,0.95547619,0.157150252,7.566666667,7.975368828,58.67809524,59.74397906,15.2497619,13.56960706,14.11190476,18.55686502,11.60642857,12.40028395,8.582857143,7.137064651,1.285714286,2.759362541,5.287619048,4.117862835,1
52,77.69230769,45.0800734,7.5,7.581607299,47.30769231,32.15080957,10.76923077,21.475044,0.769230769,1.280255152,11.34615385,7.488156329,11.80769231,7.493685705,6.139615385,1.830488545,3,6.6967271,8.683461538,6.519345733,8.538461538,20.21467626,7.230769231,6.122516403,1.192307692,1.641276023,0.945384615,0.085675181,7.769230769,5.064261601,54.83615385,37.29616902,13.79038462,6.248432715,28.05,61.8456842,12.50807692,9.172416014,9.957307692,8.567679678,0.3,1.5,5.240384615,3.738109848,1
53,88.28571429,39.13972876,6,4.956957592,61.23809524,28.65127731,6.642857143,12.89854445,0.738095238,1.662750501,13.66666667,7.453559925,14.38095238,7.464048375,6.353571429,1.678518084,1.952380952,1.233507985,8.689047619,5.117635619,4.452380952,10.92442083,10.33333333,6.527110739,0.666666667,0.992031746,0.943095238,0.096596561,6.35952381,5.795813741,66.46142857,42.80500402,12.5797619,5.445170201,11.52857143,14.23224517,10.70404762,8.907153107,8.290238095,5.628740656,1,2.382375765,4.942380952,3.470881464,0
54,68.39285714,42.80715835,5.821428571,5.291864183,33.64285714,28.65959611,20.92857143,30.51689061,1.464285714,2.556254834,6.535714286,5.046088604,7.321428571,5.014646914,6.258571429,1.956981484,2.25,2.261873433,5.889285714,5.280992824,17.71428571,29.79196577,4.892857143,4.522477874,0.928571429,0.960973146,0.952142857,0.185710165,5.678571429,5.601361897,65.41678571,37.17044814,16.90642857,7.352641515,41.66785714,55.74772291,12.12035714,13.07358938,8.148571429,7.074937513,0,0,3.732142857,3.454376476,1
55,75.25,40.99847558,5.25,4.351723796,52.46875,28.84764329,5.53125,4.506830753,1.3125,2.006824295,10.6875,7.050875389,11.34375,6.939962964,6.4384375,2.208197949,1.40625,0.700864422,8.5365625,4.53274931,2.75,2.121320344,8.84375,6.005775215,0.53125,0.828567099,0.9821875,0.061376623,7.80625,8.010966604,55.816875,59.26377827,14.7534375,10.45928254,14.18125,15.01779023,13.4028125,11.52774025,9.950625,7.388254165,0,0,5.1640625,3.481877959,1
56,69,43.0908132,4.318181818,3.53407264,47.40909091,31.67686149,7.045454545,16.29131747,0.545454545,0.940370948,9.681818182,7.503855758,10.40909091,7.481243765,6.166818182,1.488707146,2.5,5.399915824,8.209545455,7.032655956,4.863636364,14.33145128,7.772727273,7.083475124,0.409090909,0.491666083,0.985,0.053914916,7.095454545,5.310493666,59.58727273,38.24592886,15.87545455,8.530460249,18.29545455,25.37757559,14.63818182,12.90845975,6.959090909,5.258714766,0,0,4.852272727,4.671394508,1
57,77.28888889,43.77143778,6.488888889,7.727647974,41.17777778,28.93386243,18.48888889,30.7777858,2.8,4.282263161,8.333333333,6.422183775,9.155555556,6.428946883,6.640888889,2.488896964,2.533333333,3.768878407,6.557333333,6.011435547,15.22222222,31.044691,5.711111111,5.752766377,0.822222222,1.160246887,0.981111111,0.071218669,7.304444444,6.724448116,55.38844444,47.70404679,17.05933333,7.427878836,42.84444444,65.93054445,15.56155556,13.53750395,9.291555556,7.605287913,0.337777778,1.586511041,4.107333333,3.822246227,1
58,72.03571429,34.27148142,8.142857143,11.32542741,48.10714286,26.13199911,4.928571429,3.673540249,0.607142857,1.080320247,10.25,5.629165125,11,5.637882074,6.434642857,1.9865341,1.357142857,0.811272621,9.196428571,5.254401702,2.821428571,2.406146466,7.464285714,4.902493118,1.571428571,2.770102776,0.993571429,0.023786894,6.707142857,4.987837248,62.59107143,36.2387641,14.92714286,11.08856871,13.95714286,15.56152372,12.90571429,11.3196881,8.739285714,8.004369311,0.389285714,1.537702202,4.641428571,3.13531579,1
